epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.159,1.53391,1.56629,1.21183,0.40572,0.04808,0.04716,0.02344,1.90223,5.2675,1.65663,0.0701604,0.00331551,0.00331551
2,358.181,1.5013,1.27085,1.23227,0.63199,0.23035,0.22925,0.12517,1.52199,1.27012,1.276,0.0399959,0.00648428,0.00648428
3,530.857,1.44083,1.1797,1.20259,0.40743,0.23008,0.19597,0.10714,1.55066,1.93298,1.32495,0.00966631,0.00948806,0.00948806
4,704.232,1.40387,1.1327,1.18618,0.39979,0.31606,0.30839,0.17373,1.33819,1.10519,1.19403,0.0092575,0.0092575,0.0092575
5,874.928,1.33534,1.05689,1.15206,0.53258,0.37439,0.37889,0.21326,1.29715,1.0031,1.15571,0.00901,0.00901,0.00901
6,1045.46,1.30719,1.02873,1.14095,0.55528,0.372,0.38764,0.22246,1.28573,0.99066,1.15321,0.0087625,0.0087625,0.0087625
7,1216.25,1.28487,0.99854,1.12876,0.5054,0.44558,0.44151,0.25022,1.23265,0.93672,1.12926,0.008515,0.008515,0.008515
8,1384.38,1.26767,0.97463,1.1225,0.44087,0.39773,0.38476,0.21618,1.26525,1.00666,1.15774,0.0082675,0.0082675,0.0082675
9,1553.33,1.24721,0.95695,1.10961,0.58863,0.35083,0.38153,0.21876,1.27378,1.00675,1.14553,0.00802,0.00802,0.00802
10,1721.89,1.23583,0.94594,1.10749,0.62997,0.34201,0.40674,0.22575,1.28151,1.00264,1.16233,0.0077725,0.0077725,0.0077725
11,1891,1.21746,0.92735,1.09822,0.64517,0.39651,0.46915,0.27266,1.19454,0.89243,1.11834,0.007525,0.007525,0.007525
12,2059.12,1.20983,0.91473,1.0959,0.51163,0.43798,0.45722,0.26557,1.19419,0.88552,1.10903,0.0072775,0.0072775,0.0072775
13,2228.26,1.20404,0.90137,1.091,0.62568,0.46975,0.49571,0.29737,1.17657,0.84402,1.10784,0.00703,0.00703,0.00703
14,2397.11,1.18569,0.88294,1.0827,0.56538,0.44878,0.49667,0.29754,1.14299,0.86287,1.09558,0.0067825,0.0067825,0.0067825
15,2566.22,1.17132,0.86642,1.07984,0.67921,0.4295,0.50639,0.29772,1.13831,0.83382,1.09307,0.006535,0.006535,0.006535
16,2734.77,1.17068,0.8647,1.07843,0.53637,0.51135,0.53344,0.32281,1.1254,0.81405,1.07875,0.0062875,0.0062875,0.0062875
17,2906.69,1.15483,0.8475,1.07357,0.64753,0.47742,0.54287,0.31214,1.11829,0.807,1.07498,0.00604,0.00604,0.00604
